prompt,complexity_score,feature_contributions,predicted_route,actual_quality_score,evaluation_result,latency,token_count
"Write a JavaScript class `PubSub` implementing a simple publish-subscribe event system with `subscribe`, `unsubscribe`, and `publish` methods.",0.27397260273972607,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(2)"": 1.2, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,0.8818181818181817,PASS,3.325343000004068,302
Write a Rust function to find the longest common prefix among an array of strings. Handle empty list cases.,0.3470319634703196,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(0.8)"": 1.6, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 2.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,0.8818181818181817,PASS,3.7960368000058224,311
Write a TypeScript interface and class implementing a LRU (Least Recently Used) cache of size K.,0.49315068493150693,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(6)"": 6.0, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,0.8818181818181817,PASS,5.788011999989976,425
"Write a C++ function to perform binary search on a sorted vector and return the index, or -1 if not found.",0.2648401826484018,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 1.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,2.7963463999913074,264
Write a Python generator function `fibonacci_gen` that yields Fibonacci numbers up to N dynamically.,0.28310502283105027,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(3)"": 2.4, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 0.0, ""complexity_python"": 2.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,2.148818800007575,231
Write a Java implementation of the Bubble Sort algorithm. Add a flag to optimize it if the array is already sorted.,0.3744292237442922,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(3)"": 2.4, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 1.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,4.852324700012105,377
"Write a Python class implementing a Trie (Prefix Tree) with `insert`, `search`, and `startsWith` methods. Do not use external libraries.",0.5662100456621004,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(4)"": 3.5999999999999996, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 2.0, ""complexity_debugging"": 2.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",remote,0.0,FAIL,2.3327309000014793,558
Write a Python implementation of a thread-safe Singleton pattern using double-checked locking inside a multithreaded context.,0.3926940639269407,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(2)"": 1.2, ""tech_depth(1.2)"": 2.4, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(2)"": 2.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 0.0, ""complexity_python"": 2.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,3.1677842999924906,284
Write a Rust program to implement a basic AST-based arithmetic calculator that parses and evaluates strings like '3 + (4 * 5) - 6'.,0.863013698630137,"{""task_count_crossover(2)"": 1.5, ""constraints(0)"": 0.0, ""multi_entity(2)"": 1.2, ""tech_depth(3.4)"": 6.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(1)"": 1.2, ""domain_breadth(2)"": 2.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 1.0, ""complexity_math"": 1.2, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",remote,0.0,FAIL,13.401539400001639,558
Write a C++ class representing a Red-Black Tree and implement the recursive node-insertion balancing logic.,0.3972602739726027,"{""task_count_crossover(2)"": 1.5, ""constraints(0)"": 0.0, ""multi_entity(3)"": 2.4, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,17.03148480001255,952
Write a complete Python implementation of Dijkstra's shortest path algorithm using a min-heap structure from scratch.,0.2785388127853881,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(2)"": 1.2, ""tech_depth(0.2)"": 0.4, ""output_size_high"": 2.5, ""output_size_medium"": 0.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 0.0, ""complexity_python"": 2.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,9.364944600005401,548
"Write a TypeScript decorator `logMethod` that measures and prints execution time of methods, handling async/Promises.",0.2557077625570776,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(2)"": 1.2, ""tech_depth(0.2)"": 0.4, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,2.5725211999961175,241
"Write a Python function `conway_game_of_life` that updates a grid according to Conway's Game of Life rules, using wrapping boundaries.",0.3378995433789954,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(4)"": 3.5999999999999996, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 0.0, ""complexity_python"": 2.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,7.536068300003535,511
"Write a Go concurrency pipeline where 3 workers read from a channel, process data (calculate squares), and merge output to a single channel.",0.7214611872146118,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(3.2)"": 6.4, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(1)"": 1.2, ""domain_breadth(2)"": 2.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 1.0, ""complexity_math"": 1.2, ""complexity_non_python"": 0.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 3.0, ""complexity_large_document"": 0.0}",remote,0.0,FAIL,5.968817000000854,555
"Write a Python script that parses a directory of Python files, parses their abstract syntax trees (ASTs), and lists all class definitions.",0.4109589041095891,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(2)"": 1.2, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 1.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 2.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,0.9159090909090909,PASS,3.0126939000037964,270
"Fix the syntax or logic error in this Python code:
def calc_avg(nums):
    total = 0
    for n in nums:
    total += n
    return total / len(nums)",0.2648401826484018,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 0.0, ""complexity_python"": 2.0, ""complexity_debugging"": 2.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,0.8818181818181817,PASS,1.3912777999939863,202
"Identify the bug in this JavaScript snippet meant to filter out odd numbers:
function getEvens(arr) {
  return arr.filter(n => n % 2 == 1);
}",0.2648401826484018,"{""task_count_crossover(0)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 1.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,0.7022727272727273,PASS,1.3647141999827,196
"Correct the off-by-one bug in this C++ loop:
for(int i=0; i<=arr.size(); i++) {
    cout << arr[i] << endl;
}",0.3744292237442922,"{""task_count_crossover(0)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(1)"": 1.2, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 1.0, ""complexity_math"": 1.2, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,0.8818181818181817,PASS,1.8480151999974623,221
"Fix this Java function designed to check for string equality:
public boolean isMatch(String a, String b) {
    return a == b;
}",0.4018264840182649,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(2)"": 1.2, ""tech_depth(0.8)"": 1.6, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 2.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,0.7977272727272727,PASS,1.6463928000011947,207
"Correct this SQL query that fails to fetch employees who don't have a department assigned:
SELECT * FROM employees emp JOIN departments dept ON emp.dept_id = dept.id;",0.4840182648401827,"{""task_count_crossover(0)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(4)"": 3.5999999999999996, ""tech_depth(1.0)"": 2.0, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 1.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,1.8077806999936001,224
"Fix this Python code which raises a KeyError:
d = {'apple': 1, 'banana': 2}
print(d['orange'])",0.31963470319634707,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(2)"": 1.2, ""tech_depth(0.4)"": 0.8, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 0.0, ""complexity_python"": 2.0, ""complexity_debugging"": 2.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,2.3372443999978714,245
Explain and fix this JavaScript event propagation issue where clicking a child button triggers parent click handlers.,0.36073059360730597,"{""task_count_crossover(2)"": 1.5, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(0.2)"": 0.4, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 3.0, ""complexity_python"": 0.0, ""complexity_debugging"": 2.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,4.236962099996163,342
Fix this CSS selector error where class styles are not applying: <div class='card-header'>. Styles: card-header { background: red; },0.15525114155251143,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(0.2)"": 0.4, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 0.0, ""complexity_python"": 0.0, ""complexity_debugging"": 2.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,0.8818181818181817,PASS,1.4524096000095597,206
"Debug this Python recursion error (StackOverflow / RecursionError):
def factorial(n):
    return n * factorial(n - 1)",0.6027397260273972,"{""task_count_crossover(1)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(3)"": 2.4, ""tech_depth(1.7)"": 3.4, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(1)"": 1.2, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 1.2, ""complexity_non_python"": 0.0, ""complexity_python"": 2.0, ""complexity_debugging"": 2.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",remote,1.0,PASS,2.764742799990927,554
"Explain why this Python dictionary default value bug occurs and fix it:
def add_to_list(val, my_list=[]):
    my_list.append(val)
    return my_list",0.4748858447488585,"{""task_count_crossover(2)"": 1.5, ""constraints(0)"": 0.0, ""multi_entity(1)"": 0.0, ""tech_depth(0.2)"": 0.4, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(1)"": 2.5, ""math_references(0)"": 0.0, ""domain_breadth(1)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 1.0, ""complexity_math"": 0.0, ""complexity_non_python"": 0.0, ""complexity_python"": 2.0, ""complexity_debugging"": 2.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,1.0,PASS,4.065572999999858,352
"Find the logical error in this Binary Search implementation:
def binary_search(arr, target):
    low, high = 0, len(arr) - 1
    while low <= high:
        mid = (low + high) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            low = mid
        else:
            high = mid
    return -1",0.10045662100456622,"{""task_count_crossover(0)"": 0.0, ""constraints(0)"": 0.0, ""multi_entity(2)"": 1.2, ""tech_depth(0.0)"": 0.0, ""output_size_high"": 0.0, ""output_size_medium"": 1.0, ""ambiguity(0)"": 0.0, ""reasoning_depth(0)"": 0.0, ""math_references(0)"": 0.0, ""domain_breadth(0)"": 0.0, ""length_long"": 0.0, ""length_medium"": 0.0, ""lexical_diversity_high"": 0.0, ""complexity_math"": 0.0, ""complexity_non_python"": 0.0, ""complexity_python"": 0.0, ""complexity_debugging"": 0.0, ""complexity_distributed_systems"": 0.0, ""complexity_large_document"": 0.0}",local,0.9159090909090909,PASS,1.8624302000098396,281
